Symbol,Name,Market
AGG,Cong ty Co phan Dau tu va Phat trien Bat dong san An Gia,HSX
AGM,Cong ty co phan Xuat nhap khau An Giang,HSX
AGP,Cong ty co phan Duoc pham Agimexpharm,Upcom
AGR,Cong ty Co phan Chung khoan Agribank,HSX
AGRIMECO,Tong Cong ty Co dien Xay dung - CTCP,OTC
AGRIMEX,CTCP - Tong Cong ty Vat tu nong nghiep Nghe An,OTC
AGTEX28,Cong TNHH MTV Tong Cong ty 28,OTC
AGX,Cong ty co phan Thuc pham Nong san Xuat khau Sai Gon,Upcom
AHP,'',HSX
AJINOMOTO,Cong ty Ajinomoto Viet Nam,OTC
ALC,CTCP Au Lac,OTC
ALP,Cong ty Co phan Dau tu Alphanam,HSX
ALSX,CTCP Giao nhan Kho van Hang khong,OTC
ALT,Cong ty Co phan Van hoa Tan Binh,HNX
ALV,Cong ty Co phan Dau tu phat trien Ha tang ALV,Upcom
AMC,Cong ty co phan Khoang san A Chau,HNX
AMD,Cong ty co phan Dau tu va Khoang san FLC Stone,HSX
AME,Cong ty Co phan Alphanam E&C,HNX
AMP,Cong ty Co phan Armephaco,Upcom
AMS,Cong ty Co phan Co khi xay dung AMECC,Upcom
AMV,CTCP San xuat Kinh doanh Duoc va Trang thiet bi Y te Viet My,HNX
ANBINHSEC,Cong ty co phan Chung khoan An Binh,OTC
ANC11601,Trai Phieu Cong ty Co phan Dinh duong Nong nghiep Quoc te,HSX
ANDONG,CTCP Dau tu An Dong,OTC
ANGIANG,Cong ty Co phan Moi truong Do thi An Giang,OTC
ANLONG,CTCP Thuc pham An Long,OTC
ANOVA,Tap doan Anova,OTC
ANPHATCAPITAL,Cong ty Co phan Quan ly quy dau tu An Phat,OTC
ANPHONG,CTCP Dau tu An Phong,OTC
ANT,CTCP Rau qua Thuc pham An Giang,Upcom
ANV,Cong ty Co phan Nam Viet,HSX
APATIT,Cong ty TNHH MTV Apatit Viet Nam,OTC
APC,Cong ty Co phan Chieu xa An Phu,HSX
APF,Cong ty Co phan Nong san thuc pham Quang Ngai,Upcom
APG,Cong ty Co phan Chung khoan APG,HSX
APH,Cong ty Co phan Tap doan An Phat Holdings,HSX
API,Cong ty Co phan Dau tu Chau A - Thai Binh Duong,HNX
APL,CTCP Co khi va Thiet bi ap luc - VVMI,Upcom
APP,Cong ty Co phan Phat trien Phu gia va San pham Dau mo,HNX
APROMACO,CTCP Vat tu nong san,OTC
APS,Cong ty Co phan Chung khoan Chau A – Thai Binh Duong,HNX
APSC,Cong ty Co phan Chung khoan ALPHA,OTC
APT,CTCP Kinh doanh Thuy Hai San Sai Gon,Upcom
AQN,Cong ty co phan 28 Quang Ngai,Upcom
ARM,Cong ty Co phan Xuat nhap khau Hang khong,HNX
ART,Cong ty Co phan Chung khoan BOS,HNX
ARTEXPORT,Cong ty Co phan Xuat nhap khau Thu cong My nghe,OTC
ASA,Cong ty co phan Tap doan ASA,Upcom
ASC,Cong ty Co phan Chung khoan ASC,OTC
ASCH,Cong ty Co phan Hoa chat A Chau,OTC
ASD,Cong ty Co phan Song Da Ha Noi,Upcom
ASEANSF,Asean Smallcap Fund,OTC
ASG,Co phieu Cong ty Co phan Tap doan ASG,HSX
ASIAFOOD,CTCP Thuc pham A Chau,OTC
ASIAGF,Quy dau tu tang truong ACB,HSX
ASM,Cong ty Co phan Tap doan Sao Mai,HSX
ASP,Cong ty Co phan Tap doan Dau khi An Pha,HSX
AST,Cong ty Co phan Dich vu Hang khong Taseco,HSX
ATA,Cong ty Co phan NTACO,Upcom
ATB,Cong ty Co phan An Thinh,Upcom
ATD,Cong ty co phan 28 Da Nang,Upcom
ATG,Cong ty Co phan An Truong An,HSX
ATS,Cong ty co phan Suat an cong nghiep Atesco,HNX
ATSC,Cong ty Co phan Chung khoan An Thanh,OTC
AUM,CTCP Vinacafe Son Thanh,Upcom
AVC,Cong ty co phan Thuy dien A Vuong,Upcom
AVF,Cong ty Co phan Viet An,Upcom
AVG,CTCP Nghe nhin Toan cau,OTC
AVS,Cong ty Co phan Chung khoan Au Viet,HNX
B82,Cong ty Co phan 482,Upcom
BAB,Ngan hang Thuong mai co phan Bac A,Upcom
BAL,Cong ty co phan Bao bi Bia – Ruou – Nuoc giai khat,Upcom
BAM,CTCP Khoang san va Luyen kim Bac A,Upcom
BAS,Cong ty Co phan Basa,HSX
BASON,Tong Cong ty Ba Son,OTC
BAX,Cong ty Co phan Thong Nhat,HNX
BBC,Cong ty Co phan Bibica,HSX
BBH,CTCP Bao bi Hoang Thach,Upcom
BBM,Cong ty Co phan Bia Ha Noi - Nam Dinh,Upcom
BBS,Cong ty co phan VICEM Bao bi But Son,HNX
BBT,Cong ty Co phan Bong Bach Tuyet,Upcom
BCB,Cong ty co phan 397,Upcom
BCC,Cong ty Co phan Xi mang Bim Son,HNX
BCE,Cong ty Co phan Xay dung va Giao thong Binh Duong,HSX
BCF,Cong ty Co phan Thuc pham Bich Chi,HNX
BCG,Cong ty co phan Bamboo Capital,HSX
BCI,Cong ty Co phan Dau tu Xay dung Binh Chanh,HSX
BCM,Tong Cong ty Dau tu va phat trien Cong nghiep - CTCP,HSX
BCP,Cong ty co phan Duoc Becamex,Upcom
BDB,Cong ty Co phan Sach va Thiet bi Binh Dinh,HNX
BDC,Tong Cong ty Xay dung Bach Dang - CTCP,Upcom
BDF,Cong ty co phan Giay Binh Dinh,Upcom
BDG,CTCP May mac Binh Duong,Upcom
BDP,Cong ty Co phan Biet thu va Khach san bien Dong Phuong,Upcom
BDT,Cong ty Co phan Xay lap va Vat lieu Xay dung Dong Thap,Upcom
BDW,Cong ty co phan Cap thoat nuoc Binh Dinh,Upcom
BED,Cong ty Co phan Sach va Thiet bi truong hoc Da Nang,HNX
BEL,CTCP Dien tu Bien Hoa,Upcom
BENTHANH,Tong Cong ty Ben Thanh - Cong ty TNHH MTV,OTC
BESRA,Cong ty TNHH Besra Viet Nam,OTC
BETA,Cong ty Co phan Chung khoan BETA,OTC
BFC,Cong ty co phan Phan bon Binh Dien,HSX
BFI,Cong ty co phan Dau tu tai chinh BIDV,OTC
BGM,Cong ty Co phan Khai thac va Che bien Khoang san Bac Giang,HSX
BGW,Cong ty Co phan Nuoc sach Bac Giang,Upcom
BHA,Cong ty Co phan Thuy dien Bac Ha,Upcom
BHC,Cong ty Co phan Be tong Bien Hoa,Upcom
BHG,Cong ty TNHH MTV Che Bien Ho,Upcom
BHK,Cong ty Co phan Bia Ha Noi - Kim Bai,Upcom
BHN,Tong CTCP Bia - Ruou - Nuoc giai khat Ha Noi,HSX
BHP,Cong ty Co phan Bia Ha Noi - Hai Phong,Upcom
BHS,Cong ty Co phan Duong Bien Hoa,HSX
BHT,Cong ty Co phan Dau tu Xay dung Bach Dang TMC,Upcom
BHV,Cong ty Co phan Viglacera Ba Hien,Upcom
BIANFISHCO,Cong ty co phan Thuy san Binh An,OTC
BIC,Tong Cong ty Co phan Bao hiem Ngan hang Dau tu va phat trien Viet Nam,HSX
BID,Ngan hang Thuong mai co phan Dau tu va Phat trien Viet Nam,HSX
BII,Cong ty co phan Dau tu va Phat trien Cong nghiep Bao Thu,HNX
BIMGROUP,Cong ty TNHH Dau tu Phat trien San xuat Ha Long,OTC
BIO,Cong ty co phan Vac xin va Sinh pham Nha Trang,Upcom
BITAGCO,Cong ty Co phan Dich vu Nong nghiep Binh Thuan,OTC
BITEXCO,Cong ty TNHH Tap doan Bitexco,OTC
BITIS,Cong ty TNHH San xuat hang tieu dung Binh Tien,OTC
BJC,Cong Ty Co Phan VRG - Bao Loc,OTC
BKC,Cong ty Co phan Khoang san Bac Kan,HNX
BKH,Cong ty co phan Banh Mut Keo Ha Noi,Upcom
BLF,Cong ty Co phan Thuy san Bac Lieu,HNX
BLI,Tong Cong ty co phan Bao hiem Bao Long,Upcom
BLN,CTCP Van tai va Dich vu Lien Ninh,Upcom
BLT,Cong ty Co phan Luong thuc Binh Dinh,Upcom
BLU,Trung tam Dich vu Do thi tinh Bac Lieu,Upcom
BLW,Cong ty co phan Cap nuoc Bac Lieu,Upcom
BM9,CTCP Dau tu Xay dung 319 Mien Nam,Upcom
BMC,Cong ty co phan Khoang san Binh Dinh,HSX
BMD,Cong ty Co phan Moi truong va Dich vu do thi Binh Thuan,Upcom
BMF,Cong ty co phan Vat lieu Xay dung va Chat dot Dong Nai,Upcom
BMG,Cong ty co phan May Binh Minh,Upcom
BMI,Tong Cong ty Co phan Bao Minh,HSX
BMJ,Cong ty Co phan Khoang san Mien Dong AHP,Upcom
BMN,Cong ty Co phan 715,Upcom
BMP,Cong ty Co phan Nhua Binh Minh,HSX
BMS,Cong ty Co phan Chung khoan Bao Minh,Upcom
BMV,Cong ty Co phan Bot my Vinafood 1,Upcom
BNA,Cong ty Co phan Dau tu San xuat Bao Ngoc,HNX
BNC,Cong ty co phan Dich vu Cap treo Ba Na,OTC
BNW,Cong ty co phan Nuoc sach Bac Ninh,Upcom
BONGSEN,CTCP Bong Sen,OTC
BOT,Cong ty co phan BOT Cau Thai Ha,Upcom
BPC,Cong ty co phan Vicem Bao bi Bim Son,HNX
BPW,Cong ty Co phan Cap thoat nuoc Binh Phuoc,Upcom
BQB,Cong ty Co phan Bia Ha Noi - Quang Binh,Upcom
BRC,Cong ty Co phan Cao su Ben Thanh,HSX
BRGGROUP,CTCP Tap doan BRG,OTC
BRR,Cong ty Co phan Cao su Ba Ria,Upcom
BRS,Cong ty Co phan Dich vu do thi Ba Ria,Upcom
BSA,Cong ty co phan Thuy dien Buon Don,Upcom
BSC,Cong ty Co phan Dich vu Ben Thanh,HNX
BSD,"Cong ty Co phan Bia, Ruou Sai Gon - Dong Xuan",Upcom
BSG,Cong ty Co phan Xe khach Sai Gon,Upcom
BSH,Cong ty co phan Bia Sai Gon - Ha Noi,Upcom
BSI,Cong ty co phan Chung khoan Ngan hang Dau tu va Phat trien Viet Nam,HSX
BSL,Cong ty Co phan Bia Sai Gon - Song Lam,Upcom
BSP,Cong ty co phan Bia Sai Gon - Phu Tho,Upcom
BSQ,Cong ty co phan Bia Sai Gon - Quang Ngai,Upcom
BSR,Cong ty Co phan Loc Hoa dau Binh Son,Upcom
BST,Cong ty Co phan Sach - Thiet bi Binh Thuan,HNX
BT1,Cong ty co phan Bao ve Thuc vat 1 Trung uong,Upcom
BT6,Cong ty Co phan Beton 6,Upcom
BTA,CTCP Bat dong san Binh Thien An,OTC
BTB,Cong ty Co phan Bia Ha Noi - Thai Binh,Upcom
BTC,Cong ty Co phan Co khi va Xay dung Binh Trieu,Upcom
BTD,Cong ty Co phan Be tong Ly tam Thu Duc,Upcom
BTG,Cong ty Co phan Bao bi Tien Giang,Upcom
BTH,Cong ty Co phan Che tao Bien the va Vat lieu dien Ha Noi,Upcom
BTJ,CTCP Vang bac da quy Ben Thanh,OTC
BTL,Cong ty Co phan Dau tu Dia oc Ben Thanh,OTC
BTN,Cong ty Co phan Gach Tuy Nen Binh Dinh,Upcom
BTP,Cong ty Co phan Nhiet dien Ba Ria,HSX
BTR,CTCP Duong sat Binh Tri Thien,Upcom
BTRS,CTCP Dau Tu Xay Dung Kinh Doanh Nha Ben Thanh,OTC
BTS,Cong ty co phan Xi mang Vicem But Son,HNX
BTT,Cong ty Co phan Thuong mai - Dich vu Ben Thanh,HSX
BTU,CTCP Cong trinh Do thi Ben Tre,Upcom
BTV,Cong ty Co phan Dich vu Du lich Ben Thanh,Upcom
BTW,Cong ty Co phan Cap nuoc Ben Thanh,HNX
BUD,CTCP Khoa hoc Cong nghe Viet Nam,Upcom
BVB,Ngan hang Thuong mai co phan Ban Viet,Upcom
BVF,Cong ty TNHH Quan ly Quy Bao Viet,OTC
BVG,Cong ty Co phan Dau tu BVG,Upcom
BVGT,CTCP Benh vien Giao thong Van tai,OTC
BVH,Tap doan Bao Viet,HSX
BVIM,Cong ty Lien doanh Quan ly quy dau tu BIDV-Viet Nam Partners,OTC
BVIMVIF,Quy dau tu Viet Nam,OTC
BVINSURANCE,Tong Cong ty Bao hiem Bao Viet,OTC
BVLIFE,Tong Cong ty Bao Viet Nhan tho,OTC
BVN,Cong ty co phan Bong Viet Nam,Upcom
BVS,Cong ty Co phan Chung khoan Bao Viet,HNX
BWA,Cong ty Co phan Cap thoat nuoc va Xay dung Bao Loc,Upcom
BWE,Cong ty Co phan Nuoc – Moi truong Binh Duong,HSX
BWS,Cong ty co phan Cap nuoc Ba Ria - Vung Tau,Upcom
BXD,Cong ty Co phan Van tai va Quan ly Ben xe Da Nang,Upcom
BXH,Cong ty co phan VICEM Bao bi Hai Phong,HNX
BXT,Ban Quan ly va Dieu hanh Ben xe tau,Upcom
C12,Cong ty Co phan Cau 12,Upcom
C21,Cong ty co phan The ky 21,Upcom
C22,Cong ty Co phan 22,Upcom
C32,Cong ty Co phan CIC39,HSX
C36,Cong ty Co phan Quan ly va Xay dung cong trinh giao thong 236,Upcom
C47,Cong ty Co phan Xay dung 47,HSX
C4G,Cong ty co phan Tap doan CIENCO4,Upcom
C69,Cong ty Co phan Xay dung 1369,HNX
C71,Cong ty Co phan 471,Upcom
C92,Cong ty Co phan Xay dung va Dau tu 492,HNX
CAB,CTCP Tong Cong ty Truyen hinh Cap Viet Nam,Upcom
CAD,Cong ty Co phan Che bien va Xuat nhap khau Thuy san CADOVIMEX,Upcom
CADISUN,CTCP Day va cap dien Thuong Dinh,OTC
CAG,Cong ty Co phan Cang An Giang,HNX
CALOFIC,Cong ty TNHH Dau thuc vat Cai Lan,OTC
CAM,Cong ty TNHH MTV Moi truong do thi Ca Mau,Upcom
CAN,Cong ty Co phan Do hop Ha Long,HNX
CANON,Cong ty TNHH Canon Viet Nam,OTC
CAP,Cong ty Co phan Lam Nong san Thuc pham Yen Bai,HNX
CARGILL,Cong ty TNHH Cargill Viet Nam,OTC
CASC,Cong ty Co phan Chung khoan Thu Do,OTC
CASEAMIEX,CTCP Xuat nhap khau thuy san Can Tho,OTC
CASES,CTCP Che bien va dich vu Thuy san Ca Mau,OTC
CASUCO,CTCP Mia Duong Can Tho,OTC
CAT,Cong ty Co phan Thuy san Ca Mau,Upcom
CAV,Cong ty co phan Day Cap Dien Viet Nam,HSX
CBC,Cong ty co phan Che Bau Can,Upcom
CBI,Cong ty Co phan Gang thep Cao Bang,Upcom
CBS,Cong ty Co phan Mia duong Cao Bang,Upcom
CC1,Tong Cong ty Xay dung so 1 - CTCP,Upcom
CC4,Cong ty Co phan Dau tu va Xay dung so 4,Upcom
CCA,CTCP Xuat nhap khau Thuy san Can Tho,Upcom
CCH,Cong ty Co phan Tu van va Dau tu xay dung CCIC Ha Noi,Upcom
CCI,Cong ty Co phan Dau tu Phat trien Cong nghiep - Thuong mai Cu Chi,HSX
CCL,Cong ty co phan Dau tu va Phat trien Do thi Dau khi Cuu Long,HSX
CCM,Cong ty Co phan Khoang san & Xi mang Can Tho,Upcom
CCP,Cong ty co phan Cang Cua Cam Hai Phong,Upcom
CCR,Cong ty co phan Cang Cam Ranh,Upcom
CCT,Cong ty Co phan Cang Can Tho,Upcom
CCV,Cong ty co phan Tu van Xay dung Cong nghiep va Do thi Viet Nam,Upcom
CDC,Cong ty Co phan Chuong Duong,HSX
CDG,Cong ty Co phan Cau Duong,Upcom
CDH,CTCP Cong trinh cong cong Dich vu Du lich Hai Phong,Upcom
CDN,Cong ty co phan Cang Da Nang,HNX
CDO,Cong ty Co phan Tu van thiet ke va Phat trien do thi,Upcom
CDP,Cong ty co phan Duoc pham Trung uong Codupha,Upcom
CDR,Cong ty Co phan Xay dung Cao su Dong Nai,Upcom
CE1,Cong ty Co phan Xay dung va Thiet bi Cong nghiep CIE1,Upcom
CEC,Cong ty Co phan Thiet ke Cong nghiep Hoa chat,Upcom
CEE,Cong ty Co phan Xay dung Ha tang CII,HSX
CEG,Cong ty Co phan Tap doan Xay dung va Thiet bi Cong nghiep,Upcom
CEN,Cong ty Co phan Dich vu Hang khong CENCON Viet Nam,Upcom
CEO,Cong ty Co phan Tap doan C.E.O,HNX
CER,Cong ty Co phan Dia chinh va Tai nguyen Moi truong,Upcom
CET,Cong ty co phan Tech-Vina,HNX
CFC,Cong ty Co phan Cafico Viet Nam,Upcom
CFV,Cong ty TNHH Mot thanh vien Ca phe Thang Loi,Upcom
CGP,Cong ty co phan Duoc pham Can Gio,Upcom
CGV,Cong ty Co phan Sanh su Thuy tinh Viet Nam,Upcom
CH5,Cong ty Co phan Xay dung So 5 Ha Noi,Upcom
CHC,Cong ty Co phan Cam Ha,Upcom
CHP,Cong ty Co phan Thuy dien mien Trung,HSX
CHS,Cong ty Co phan Chieu sang Cong cong Thanh pho Ho Chi Minh,Upcom
CI5,Cong ty co phan Dau tu Xay dung so 5,Upcom
CIA,Cong ty Co phan Dich vu San bay Quoc te Cam Ranh,HNX
CIC,Cong ty Co phan Dau tu va Xay dung COTEC,HNX
CICT,Cong ty TNHH Cang Container Quoc te Cai Lan,OTC
CID,Cong ty Co phan Xay dung va Phat trien Co so Ha tang,Upcom
CIENCO1,Tong Cong ty Xay dung Cong trinh Giao thong 1 - CTCP,OTC
CIENCO5,Tong Cong ty Xay dung Cong trinh Giao thong 5 - CTCP,OTC
CIENCO6,Tong Cong ty Xay dung Cong trinh Giao thong 6 - CTCP,OTC
CIENCO8,Tong Cong ty Xay dung Cong trinh Giao thong 8 - CTCP,OTC
CIG,Cong ty Co phan COMA18,HSX
CII,Cong ty co phan Dau tu Ha tang Ky thuat T.P Ho Chi Minh,HSX
CII11709,Trai phieu Cong ty Co phan Dau tu Ha tang Ky thuat Thanh pho Ho Chi Minh,HSX
CII41401,Trai phieu chuyen doi Cong ty co phan Dau tu Ha tang Ky thuat Thanh pho Ho Chi Minh,HSX
CIP,Cong ty Co phan Xay lap va San xuat Cong nghiep,Upcom
CIPM,Tong Cong ty Dau tu Phat trien va Quan ly Du an ha tang giao thong Cuu Long,OTC
CIPUTRAHN,Cong ty TNHH Phat Trien Khu do thi Nam Thang Long,OTC
CJC,Cong ty Co phan Co dien Mien Trung,HNX
CK8,Cong ty Co phan Co khi 120,Upcom
CKA,Cong ty co phan Co khi An Giang,Upcom
CKD,Cong ty co phan Co khi Dong Anh Licogi,Upcom
CKG,CTCP Tap doan Tu van Dau tu & Xay dung Kien Giang,HSX
CKH,Cong ty Co phan Co khi che tao Hai Phong,Upcom
CKV,Cong ty Co phan COKYVINA,HNX
CLC,Cong ty Co phan Cat Loi,HSX
CLG,Cong ty Co phan Dau tu va Phat trien Nha dat COTEC,HSX
CLH,Cong ty co phan Xi mang La Hien VVMI,HNX
CLL,Cong ty co phan Cang Cat Lai,HSX
CLM,CTCP Xuat nhap khau Than - Vinacomin,HNX
CLP,Cong ty Co phan Thuy San Cuu Long,HSX
CLS,Cong ty Co phan Chung Khoan Cho Lon,Upcom
CLW,Cong ty Co phan Cap nuoc Cho Lon,HSX
CLX,Cong ty Co phan Xuat nhap khau va Dau tu Cho Lon (Cholimex),Upcom
CMC,Cong ty Co phan Dau tu CMC,HNX
CMD,CTCP Vat lieu Xay dung va Trang tri Noi that Thanh pho Ho Chi Minh,Upcom
CMF,Cong ty Co phan Thuc pham Cholimex,Upcom
CMG,Cong ty Co phan Tap doan Cong nghe CMC,HSX
CMI,Cong ty co phan CMISTONE Viet Nam,Upcom
CMIT,Cong ty TNHH Cang Quoc te Cai Mep,OTC
CMK,Cong ty co phan Co khi Mao khe - Vinacomin,Upcom
CMN,Cong ty Co phan Luong thuc Thuc pham Colusa-Miliket,Upcom
CMP,CTCP Cang Chan May,Upcom
CMS,Cong ty co phan Xay dung va Nhan luc Viet Nam,HNX
CMT,Cong ty Co phan Cong nghe Mang va Truyen thong,Upcom
CMV,Cong ty Co phan Thuong nghiep Ca Mau,HSX
CMW,Cong ty Co phan Cap nuoc Ca Mau,Upcom
CMX,Cong ty Co phan Camimex Group,HSX
CNC,Cong ty co phan Cong nghe cao Traphaco,Upcom
CNG,Cong ty co phan CNG Viet Nam,HSX
CNH,Cong ty Co phan Cang Nha Trang,Upcom
CNN,"CTCP Tu van cong nghe, thiet bi va kiem dinh xay dung - CONINCO",Upcom
CNS,Tong Cong ty Cong nghiep Sai Gon - TNHH Mot thanh vien,OTC
CNT,Cong ty Co phan Xay dung va Kinh doanh Vat tu,Upcom
COCACOLA,Cong ty TNHH Coca Cola Viet Nam,OTC
COM,Cong ty Co phan Vat tu - Xang dau,HSX
CPA,CTCP Ca phe Phuoc An,Upcom
CPC,Cong ty Co phan Thuoc sat trung Can Tho,HNX
CPH,Cong ty Co phan Mai tang Hai Phong,Upcom
CPI,Cong ty Co phan Dau tu Cang Cai Lan,Upcom
CPVN,CTCP Chan nuoi C.P Viet Nam,OTC
CPW,CTCP Cong trinh Giao thong Cong chanh,Upcom
CQN,Cong ty co phan Cang Quang Ninh,Upcom
CQT,Cong ty co phan Xi mang Quan Trieu VVMI,Upcom
CRC,Cong ty Co phan Create Capital Viet Nam,HSX
CRE,Cong ty Co phan Bat dong san The Ky,HSX
CSC,Cong ty Co phan Tap doan COTANA,HNX
CSG,Cong ty Co phan Cap Sai Gon,HSX
CSI,Cong ty co phan Chung khoan Kien thiet Viet Nam,Upcom
CSM,Cong ty Co phan Cong nghiep Cao su Mien Nam,HSX
CSV,Cong ty Co phan Hoa chat Co ban mien Nam,HSX
CT3,Cong ty Co phan Dau tu va Xay dung Cong trinh 3,Upcom
CT5,Cong ty co phan 319.5,Upcom
CT6,Cong ty Co phan Cong trinh 6,Upcom
CTA,Cong ty Co phan Vinavico,Upcom
CTB,Cong ty Co phan Che tao Bom Hai Duong,HNX
CTC,Cong ty co phan Gia Lai CTC,HNX
CTD,Cong ty Co phan Xay dung Coteccons,HSX
CTF,Cong ty co phan City Auto,HSX
CTG,Ngan hang Thuong mai Co phan Cong thuong Viet Nam,HSX
CTGROUP,Cong ty co phan Quoc te C&T,OTC
CTI,Cong ty Co phan Dau tu Phat trien Cuong Thuan IDICO,HSX
CTM,Cong ty Co phan Dau tu Xay dung va Khai thac mo Vinavico,HNX
CTN,Cong ty Co phan Xay dung Cong trinh ngam,Upcom
CTNQN,Cong ty co phan Cap thoat nuoc Quang Nam,OTC
CTP,Cong ty Co phan Minh Khang Capital Trading Public,HNX
CTR,Tong Cong ty Co phan Cong trinh Viettel,Upcom
CTS,Cong ty co phan Chung khoan Ngan hang Cong thuong Viet Nam,HSX
CTT,CTCP Che tao may Vinacomin,HNX
CTV,Cong ty co phan Dau tu-San xuat va Thuong mai Viet Nam,HNX
CTW,CTCP Cap thoat nuoc Can Tho,Upcom
CTX,Tong Cong ty Co phan Dau tu Xay dung va Thuong mai Viet Nam,HNX
CVC,Cong ty Co Phan Co dien Vat tu,Upcom
CVH,"Cong ty Co phan Cong vien, Cay xanh Hai Phong",Upcom
CVN,Cong ty co phan Vinam,HNX
CVSM,Cong ty Co phan Chung khoan VSM,OTC
CVT,Cong ty Co phan CMC,HSX
CX8,Cong ty co phan Dau tu va Xay lap Constrexim so 8,HNX
CXH,CTCP Xe khach Ha Noi,Upcom
CYC,Cong ty Co phan Gach men Chang Yih,Upcom
CZC,Cong ty co phan Than mien Trung,Upcom
D11,Cong ty Co phan Dia oc 11,HNX
D26,Cong ty Co phan Quan ly va Xay dung Duong bo 26,Upcom
D2D,Cong ty Co phan Phat trien Do thi Cong nghiep So 2,HSX
DAC,Cong ty Co phan Viglacera Dong Anh,Upcom
DACF,Cong ty TNHH Quan ly quy dau tu chung khoan Dong A,OTC
DAD,Cong ty Co phan Dau tu va Phat trien Giao duc Da Nang,HNX
DAE,Cong ty Co phan Sach Giao duc tai Tp. Da Nang,HNX
DAF,Ngan hang Thuong mai co phan Dong A,OTC
DAG,Cong ty Co phan Tap doan Nhua Dong A,HSX
DAH,Cong ty co phan Tap doan Khach san Dong A,HSX
DAINAM,CTCP Dai Nam,OTC
DALATMILK,CTCP Sua Da Lat,OTC
DANAPHA,Cong ty co phan Duoc Danapha,OTC
DAP,Cong ty Co phan Dong A,Upcom
DAR,Cong ty Co phan Xe lua Di An,Upcom
DAS,Cong ty Co phan May - Thiet bi Dau khi Da Nang,Upcom
DASC,Cong ty TNHH MTV Chung khoan Ngan hang Dong A,OTC
DAT,Cong ty Co phan Dau tu Du lich va Phat trien Thuy san,HSX
DBC,Cong ty Co phan Tap doan Dabaco Viet Nam,HSX
DBD,Cong ty Co phan Duoc - Trang thiet bi Y te Binh Dinh,HSX
DBF,Cong ty Co phan Luong thuc Dong Bac,OTC
DBH,CTCP Duong bo Hai Phong,Upcom
DBM,Cong ty Co phan Duoc - Vat tu Y te Dak Lak,Upcom
DBT,Cong ty Co phan Duoc pham Ben Tre,HSX
DBW,Cong ty Co phan Cap nuoc Dien Bien,Upcom
DC1,Cong ty co phan Dau tu Phat trien Xay dung so 1,Upcom
DC2,Cong ty Co phan Dau tu Phat trien - Xay dung so 2,HNX
DC4,Cong ty Co phan Xay dung DIC Holdings,HSX
DCC,Cong ty Co phan Xay dung Cong nghiep DESCON,HSX
DCD,CTCP Du lich va Thuong mai DIC,Upcom
DCF,Cong ty Co phan Xay dung va Thiet ke so 1,Upcom
DCG,Cong ty co phan Tong cong ty May Dap Cau,Upcom
